step,ce_loss,ppl,grad,tps,mfu,total_tokens
1,10.98,,4.473,,,
10,9.66,15681.0,2.477,8366.0,27.59,41943040.0
20,9.084,8812.0,2.025,8363.0,27.58,83886080.0
30,8.499,4909.0,1.612,8363.0,27.58,125829120.0
40,7.811,2466.0,1.127,8367.0,27.59,167772160.0
50,7.29,1465.0,0.9049,8365.0,27.58,209715200.0
60,7.031,1131.0,0.6382,8353.0,27.54,251658240.0
70,6.765,867.3,0.5314,8352.0,27.54,293601280.0
80,6.599,734.2,0.722,8351.0,27.54,335544320.0
90,6.365,581.0,0.7082,8352.0,27.54,377487360.0
100,6.258,522.0,0.6655,8352.0,27.54,419430400.0
110,6.106,448.4,0.4317,8353.0,27.55,461373440.0
120,6.033,417.0,0.7287,4842.0,15.97,503316480.0
130,5.932,377.0,0.6089,7720.0,25.46,545259520.0
140,5.816,335.6,0.7719,7963.0,26.26,587202560.0
150,5.738,310.3,0.4681,8063.0,26.59,629145600.0
160,5.626,277.5,1.054,8116.0,26.76,671088640.0
170,5.564,260.9,0.3839,8148.0,26.87,713031680.0
180,5.439,230.1,0.5198,8155.0,26.89,754974720.0
190,5.381,217.3,0.5337,8176.0,26.96,796917760.0
200,5.319,204.2,0.5921,8188.0,27.0,838860800.0
210,5.208,182.8,0.4251,8201.0,27.04,880803840.0
220,5.182,178.1,0.6567,8210.0,27.07,922746880.0
230,5.08,160.8,0.5488,8217.0,27.1,964689920.0
240,5.057,157.2,0.5086,8220.0,27.1,1006632960.0
250,4.892,133.2,0.4324,8225.0,27.12,1048576000.0
260,4.97,144.0,0.7383,8230.0,27.14,1090519040.0
270,4.785,119.7,0.3824,8236.0,27.16,1132462080.0
280,4.834,125.7,0.5813,8241.0,27.17,1174405120.0
290,4.796,121.0,0.732,8245.0,27.19,1216348160.0
300,4.69,108.8,0.4174,8244.0,27.19,1258291200.0
310,4.705,110.5,0.5654,8247.0,27.2,1300234240.0
320,4.594,98.92,0.571,8249.0,27.2,1342177280.0
330,4.645,104.1,0.5814,8251.0,27.21,1384120320.0
340,4.484,88.62,0.5595,8254.0,27.22,1426063360.0
350,4.546,94.23,0.4504,8256.0,27.22,1468006400.0
360,4.504,90.36,0.5215,8255.0,27.22,1509949440.0
370,4.483,88.48,0.6698,8257.0,27.23,1551892480.0
380,4.475,87.77,0.3754,8258.0,27.23,1593835520.0
390,4.401,81.56,0.5926,8260.0,27.24,1635778560.0
400,4.406,81.9,0.5717,8262.0,27.24,1677721600.0
410,4.321,75.24,0.642,8263.0,27.25,1719664640.0
420,4.36,78.22,0.5061,8261.0,27.24,1761607680.0
430,4.197,66.46,0.5685,8262.0,27.25,1803550720.0
440,4.307,74.25,0.5644,8263.0,27.25,1845493760.0
450,4.134,62.42,0.4968,8263.0,27.25,1887436800.0
460,4.252,70.22,0.4715,8264.0,27.25,1929379840.0
470,4.162,64.17,0.4521,8265.0,27.25,1971322880.0
480,4.167,64.55,0.4615,8264.0,27.25,2013265920.0
490,4.163,64.26,0.4521,8264.0,27.25,2055208960.0
500,4.082,59.27,0.4585,8264.0,27.25,2097152000.0
510,4.128,62.07,0.3832,8265.0,27.26,2139095040.0
520,3.971,53.04,0.4673,8266.0,27.26,2181038080.0
530,4.082,59.26,0.3851,8266.0,27.26,2222981120.0
540,3.915,50.17,0.4245,8264.0,27.25,2264924160.0
550,4.016,55.5,0.4151,8264.0,27.25,2306867200.0
560,3.947,51.76,0.3757,8263.0,27.25,2348810240.0
570,3.957,52.3,0.5242,8262.0,27.25,2390753280.0
580,3.948,51.81,0.3557,8262.0,27.25,2432696320.0
590,3.922,50.51,0.447,8261.0,27.24,2474639360.0
600,3.929,50.84,0.3004,8260.0,27.24,2516582400.0
610,3.837,46.38,0.4178,8260.0,27.24,2558525440.0
620,3.921,50.44,0.4298,8260.0,27.24,2600468480.0
630,3.728,41.58,0.3846,8261.0,27.24,2642411520.0
640,3.881,48.48,0.449,8261.0,27.24,2684354560.0
650,3.743,42.21,0.3771,8261.0,27.24,2726297600.0
660,3.843,46.65,0.3553,8261.0,27.24,2768240640.0
670,3.767,43.24,0.3574,8261.0,27.24,2810183680.0
680,3.784,44.01,0.3241,8261.0,27.24,2852126720.0
690,3.788,44.17,0.4332,8261.0,27.24,2894069760.0
700,3.686,39.9,0.2795,8261.0,27.24,2936012800.0
710,3.821,45.67,0.4403,8260.0,27.24,2977955840.0
720,3.585,36.07,0.3252,8260.0,27.24,3019898880.0
730,3.782,43.92,0.3882,8260.0,27.24,3061841920.0
740,3.633,37.83,0.4626,8260.0,27.24,3103784960.0
750,3.714,41.02,0.3333,8260.0,27.24,3145728000.0
760,3.706,40.69,0.3084,8260.0,27.24,3187671040.0
770,3.692,40.11,0.3861,8259.0,27.23,3229614080.0
780,3.714,41.01,0.3341,8259.0,27.23,3271557120.0
790,3.528,34.07,0.3199,8258.0,27.23,3313500160.0
800,3.712,40.95,0.3349,8258.0,27.23,3355443200.0
810,3.58,35.86,0.3188,8258.0,27.23,3397386240.0
820,3.605,36.79,0.3069,8258.0,27.23,3439329280.0
830,3.624,37.49,0.2882,8257.0,27.23,3481272320.0
840,3.613,37.08,0.2745,8257.0,27.23,3523215360.0
850,3.614,37.12,0.2586,8257.0,27.23,3565158400.0
860,3.612,37.05,0.3809,8258.0,27.23,3607101440.0
870,3.646,38.31,0.2847,8258.0,27.23,3649044480.0
880,3.618,37.27,0.3477,8259.0,27.23,3690987520.0
890,3.576,35.73,0.2991,8258.0,27.23,3732930560.0
900,3.555,35.0,0.3227,8259.0,27.23,3774873600.0
910,3.553,34.92,0.287,8259.0,27.23,3816816640.0
920,3.552,34.88,0.2863,8259.0,27.24,3858759680.0
