step,optim/step_skipped,optim/total_grad_norm,system/gpu_active_mem_gib,system/gpu_reserved_mem_gib,throughput/device_mfu,throughput/device_mfu_actual_avg,throughput/device_tps,throughput/device_tps_actual_avg,throughput/total_tokens,train/ce_loss,train/ppl,train/z_loss
1,0.0,4.473,9.211,13.17,,,,,,10.98,,0.0012
10,0.0,2.477,9.211,13.17,27.76,27.59,8420.0,8366.0,41943040.0,9.66,15681.0,0.0012
20,0.0,2.025,9.211,13.17,27.44,27.58,8322.0,8363.0,83886080.0,9.084,8812.0,0.0012
30,0.0,1.612,9.211,13.17,27.6,27.58,8370.0,8363.0,125829120.0,8.499,4909.0,0.0011
40,0.0,1.127,9.211,13.17,27.64,27.59,8383.0,8367.0,167772160.0,7.811,2466.0,0.0011
50,0.0,0.9049,9.211,13.17,27.62,27.58,8377.0,8365.0,209715200.0,7.29,1465.0,0.0011
60,0.0,0.6382,9.211,13.17,26.91,27.54,8160.0,8353.0,251658240.0,7.031,1131.0,0.0011
70,0.0,0.5314,9.211,13.17,27.55,27.54,8355.0,8352.0,293601280.0,6.765,867.3,0.0011
80,0.0,0.722,9.211,13.17,27.5,27.54,8341.0,8351.0,335544320.0,6.599,734.2,0.0011
90,0.0,0.7082,9.211,13.17,27.55,27.54,8356.0,8352.0,377487360.0,6.365,581.0,0.0012
100,0.0,0.6655,9.211,13.17,27.48,27.54,8332.0,8352.0,419430400.0,6.258,522.0,0.0012
110,0.0,0.4317,9.211,13.17,27.76,27.55,8417.0,8353.0,461373440.0,6.106,448.4,0.0012
120,0.0,0.7287,9.211,13.17,15.97,15.97,4842.0,4842.0,503316480.0,6.033,417.0,0.0013
130,0.0,0.6089,9.211,13.17,27.17,25.46,8241.0,7720.0,545259520.0,5.932,377.0,0.0013
