step,optim/step_skipped,optim/total_grad_norm,system/gpu_active_mem_gib,system/gpu_reserved_mem_gib,throughput/device_mfu,throughput/device_mfu_actual_avg,throughput/device_tps,throughput/device_tps_actual_avg,throughput/total_tokens,train/ce_loss,train/ppl,train/z_loss
0,,,,,,,,,,,,0.0
1,0.0,4.8,12.15,16.25,,,,,,11.0,,0.0012
10,0.0,2.354,12.15,16.25,20.91,20.86,6340.0,6326.0,41943040.0,9.656,15608.0,0.0012
20,0.0,1.971,12.14,16.25,20.83,20.83,6315.0,6316.0,83886080.0,9.088,8852.0,0.0012
30,0.0,1.586,12.16,16.25,20.8,20.82,6306.0,6312.0,125829120.0,8.487,4849.0,0.0011
40,0.0,1.23,12.15,16.25,20.79,20.81,6304.0,6311.0,167772160.0,7.747,2314.0,0.0011
50,0.0,0.9368,12.13,16.25,20.84,20.81,6319.0,6309.0,209715200.0,7.225,1373.0,0.0011
60,0.0,1.114,12.16,16.25,20.11,20.77,6098.0,6299.0,251658240.0,6.867,960.4,0.0011
70,0.0,0.5373,12.15,16.25,20.77,20.77,6298.0,6299.0,293601280.0,6.418,612.9,0.0011
80,0.0,0.4886,12.16,16.25,20.81,20.77,6309.0,6298.0,335544320.0,6.134,461.4,0.0011
90,0.0,0.5201,12.14,16.25,20.72,20.76,6282.0,6296.0,377487360.0,5.797,329.2,0.0012
100,0.0,0.7991,12.14,16.25,20.75,20.76,6292.0,6296.0,419430400.0,5.649,284.0,0.0012
110,0.0,0.3508,12.14,16.25,20.81,20.76,6310.0,6296.0,461373440.0,5.402,221.8,0.0013
120,0.0,0.6826,12.15,16.25,20.77,20.75,6297.0,6291.0,503316480.0,5.286,197.5,0.0013
130,0.0,0.3227,12.15,16.25,20.78,20.75,6303.0,6291.0,545259520.0,5.129,168.9,0.0013
140,0.0,0.4836,12.15,16.25,20.72,20.74,6284.0,6290.0,587202560.0,4.98,145.5,0.0013
150,0.0,1.054,12.15,16.25,20.69,20.74,6274.0,6289.0,629145600.0,4.967,143.7,0.0013
160,0.0,0.3781,12.15,16.25,20.72,20.74,6284.0,6289.0,671088640.0,4.728,113.1,0.0014
170,0.0,0.2434,12.15,16.25,20.74,20.74,6290.0,6290.0,713031680.0,4.729,113.2,0.0014
180,0.0,0.4609,12.13,16.25,20.78,20.73,6300.0,6288.0,754974720.0,4.587,98.15,0.0014
190,0.0,0.6388,12.12,16.25,20.72,20.73,6283.0,6287.0,796917760.0,4.574,96.97,0.0014
200,0.0,0.237,12.17,16.25,20.77,20.74,6297.0,6288.0,838860800.0,4.468,87.22,0.0014
210,0.0,0.543,12.16,16.25,20.7,20.74,6276.0,6288.0,880803840.0,4.403,81.66,0.0015
220,0.0,0.3312,12.14,16.25,20.72,20.74,6283.0,6288.0,922746880.0,4.358,78.07,0.0015
230,0.0,0.4098,12.15,16.25,20.84,20.74,6319.0,6289.0,964689920.0,4.277,72.02,0.0015
240,0.0,0.4357,12.16,16.25,21.13,20.74,6406.0,6290.0,1006632960.0,4.264,71.12,0.0015
250,0.0,0.4784,12.16,16.25,21.04,20.76,6381.0,6294.0,1048576000.0,4.109,60.9,0.0015
260,0.0,0.3195,12.15,16.25,20.92,20.77,6345.0,6297.0,1090519040.0,4.164,64.36,0.0015
270,0.0,0.485,12.13,16.25,20.88,20.77,6331.0,6299.0,1132462080.0,4.004,54.81,0.0015
280,0.0,0.4425,12.15,16.25,20.82,20.78,6313.0,6300.0,1174405120.0,4.065,58.26,0.0016
290,0.0,0.5226,12.13,16.25,20.87,20.78,6329.0,6302.0,1216348160.0,4.003,54.74,0.0016
300,0.0,0.3969,12.15,16.25,20.82,20.78,6313.0,6301.0,1258291200.0,3.956,52.24,0.0016
310,0.0,0.3019,12.17,16.25,20.75,20.78,6291.0,6301.0,1300234240.0,3.943,51.57,0.0016
