step,ce_loss,ppl,grad,tps,mfu,total_tokens
1,11.0,,4.8,,,
10,9.656,15608.0,2.354,6326.0,20.86,41943040.0
20,9.088,8852.0,1.971,6316.0,20.83,83886080.0
30,8.487,4849.0,1.586,6312.0,20.82,125829120.0
40,7.747,2314.0,1.23,6311.0,20.81,167772160.0
50,7.225,1373.0,0.9368,6309.0,20.81,209715200.0
60,6.867,960.4,1.114,6299.0,20.77,251658240.0
70,6.418,612.9,0.5373,6299.0,20.77,293601280.0
80,6.134,461.4,0.4886,6298.0,20.77,335544320.0
90,5.797,329.2,0.5201,6296.0,20.76,377487360.0
100,5.649,284.0,0.7991,6296.0,20.76,419430400.0
110,5.402,221.8,0.3508,6296.0,20.76,461373440.0
120,5.286,197.5,0.6826,6291.0,20.75,503316480.0
130,5.129,168.9,0.3227,6291.0,20.75,545259520.0
140,4.98,145.5,0.4836,6290.0,20.74,587202560.0
150,4.967,143.7,1.054,6289.0,20.74,629145600.0
160,4.728,113.1,0.3781,6289.0,20.74,671088640.0
170,4.729,113.2,0.2434,6290.0,20.74,713031680.0
180,4.587,98.15,0.4609,6288.0,20.73,754974720.0
190,4.574,96.97,0.6388,6287.0,20.73,796917760.0
200,4.468,87.22,0.237,6288.0,20.74,838860800.0
210,4.403,81.66,0.543,6288.0,20.74,880803840.0
220,4.358,78.07,0.3312,6288.0,20.74,922746880.0
230,4.277,72.02,0.4098,6289.0,20.74,964689920.0
240,4.264,71.12,0.4357,6290.0,20.74,1006632960.0
250,4.109,60.9,0.4784,6294.0,20.76,1048576000.0
260,4.164,64.36,0.3195,6297.0,20.77,1090519040.0
270,4.004,54.81,0.485,6299.0,20.77,1132462080.0
280,4.065,58.26,0.4425,6300.0,20.78,1174405120.0
290,4.003,54.74,0.5226,6302.0,20.78,1216348160.0
300,3.949,51.87,0.4215,7210.0,23.78,1258291200.0
310,3.96,52.47,0.3458,7697.0,25.38,1300234240.0
320,3.793,44.4,0.291,7786.0,25.68,1342177280.0
330,3.898,49.28,0.4431,7820.0,25.79,1384120320.0
340,3.774,43.56,0.2643,7837.0,25.84,1426063360.0
350,3.827,45.93,0.2859,7849.0,25.88,1468006400.0
360,3.775,43.58,0.3053,7844.0,25.87,1509949440.0
370,3.774,43.56,0.2931,7852.0,25.89,1551892480.0
380,3.76,42.93,0.3094,7858.0,25.91,1593835520.0
390,3.662,38.94,0.3449,7862.0,25.93,1635778560.0
